id,kode_provinsi,nama_provinsi,kelompok_umur,jenis_kelamin,semester,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,00 - 04,LAKI-LAKI,2,975447,JIWA,2013
2,32,JAWA BARAT,00 - 04,PEREMPUAN,2,887298,JIWA,2013
3,32,JAWA BARAT,05 - 09,LAKI-LAKI,2,1433540,JIWA,2013
4,32,JAWA BARAT,05 - 09,PEREMPUAN,2,1310640,JIWA,2013
5,32,JAWA BARAT,10 - 14,LAKI-LAKI,2,1540320,JIWA,2013
6,32,JAWA BARAT,10 - 14,PEREMPUAN,2,1416610,JIWA,2013
7,32,JAWA BARAT,15 - 19,LAKI-LAKI,2,1858670,JIWA,2013
8,32,JAWA BARAT,15 - 19,PEREMPUAN,2,1747030,JIWA,2013
9,32,JAWA BARAT,20 - 24,LAKI-LAKI,2,2136380,JIWA,2013
10,32,JAWA BARAT,20 - 24,PEREMPUAN,2,2087830,JIWA,2013
11,32,JAWA BARAT,25 - 29,LAKI-LAKI,2,2058780,JIWA,2013
12,32,JAWA BARAT,25 - 29,PEREMPUAN,2,2025090,JIWA,2013
13,32,JAWA BARAT,30 - 34,LAKI-LAKI,2,2206790,JIWA,2013
14,32,JAWA BARAT,30 - 34,PEREMPUAN,2,2193720,JIWA,2013
15,32,JAWA BARAT,35 - 39,LAKI-LAKI,2,1947980,JIWA,2013
16,32,JAWA BARAT,35 - 39,PEREMPUAN,2,1961600,JIWA,2013
17,32,JAWA BARAT,40 - 44,LAKI-LAKI,2,1840000,JIWA,2013
